"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","Population, female (% of total population)","SP.POP.TOTL.FE.ZS","50.9795602125148","50.9651116643215","50.9656079951631","50.9867898904743","51.0126426905609","51.0242864863922","51.039825309348","51.0388670663634","51.0457885811193","51.064119590016","51.0953106483833","51.1456545876653","51.1938378251934","51.2733249219736","51.3225502668231","51.3544259970653","51.3501468986235","51.3351886823709","51.3011214269076","51.2722603881812","51.2604622526915","51.2607123396245","51.2789162224287","51.3043897577677","51.2876834431605","51.2534907336888","51.1708835501636","51.0592192502992","50.9235001309929","50.7823636393427","50.6709357703694","50.5918945267165","50.534876905041","50.5248637837092","50.5677595984616","50.6797470245506","50.8346252298374","51.0403744880047","51.282080659945","51.5206327450033","51.7454273325556","51.9409636997804","52.1159676604346","52.265605673291","52.3738151178806","52.4393169912425","52.459585440841","52.4430482287159","52.3953749926008","52.3518511217127","52.3287267004377","52.3292503674669","52.3521669185395","52.3917995444191","52.4283071230342","52.4655210419881","52.4903447289372","52.5127893622878","52.5310356555751","",
"Afghanistan","AFG","Population, female (% of total population)","SP.POP.TOTL.FE.ZS","48.3206618408181","48.4126888917341","48.4993865117273","48.5808743398441","48.6571363598861","48.7283853328108","48.7940645749712","48.8542717955187","48.9101691970642","48.9631690474153","49.0137783038566","49.0621195682958","49.10709848394","49.1464050224615","49.1774484087599","49.1985996871031","49.2105016938378","49.2142229913021","49.2097899146846","49.197117901195","49.1762587504211","49.1429300698871","49.0963412587508","49.0441811964078","48.9994515050671","48.9714784568935","48.9738438675559","49.0013648109041","49.021648117302","48.9897229501066","48.8844825109522","48.7054305371164","48.4928386875107","48.30251455417","48.1795973793914","48.1375832644881","48.1766143098311","48.2762007128538","48.402114321932","48.5069268533939","48.5585653521805","48.5455726553701","48.4880208084909","48.4198279700101","48.3807718857951","48.3918975840049","48.458872976407","48.5657150325628","48.6848683194576","48.7791710920652","48.8247575997556","48.815783003393","48.7671116469881","48.7000703324666","48.6413243145116","48.607049369402","48.5996676146541","48.611615718279","48.6358467017121","",
"Angola","AGO","Population, female (% of total population)","SP.POP.TOTL.FE.ZS","49.3356294791985","49.2412594195141","49.2898061331124","49.4060705045654","49.4871878925428","49.4651744289519","49.3162094080688","49.0705097121006","48.783830049116","48.542851993037","48.4106234593471","48.4073447115157","48.5018914800339","48.651906309297","48.8078479767314","48.9382536488499","49.0401542401974","49.1245176859865","49.1965234990868","49.2649784445716","49.335186763678","49.4065069489975","49.4755749140479","49.5414358900515","49.6032189711869","49.6604344130738","49.7132686712569","49.7623312252333","49.8082815122554","49.851974511261","49.8940404114147","49.9347492481162","49.9740427724231","50.0123900156665","50.0499601851426","50.0870227436599","50.1237854602012","50.1602520567429","50.1956886898096","50.2292890784383","50.2605566157057","50.2886770508221","50.3141999351805","50.3393569961212","50.3668647709064","50.3979292775545","50.4331161859076","50.4704056758649","50.5055763288064","50.5335614848801","50.5516575501192","50.5594645232624","50.559227813529","50.5538637195125","50.5471002223944","50.5413281557632","50.5370064892474","50.5334766486604","50.5304629337424","",
"Albania","ALB","Population, female (% of total population)","SP.POP.TOTL.FE.ZS","48.5933239654763","48.5973880229619","48.6036226567108","48.6113089064885","48.6176598690966","48.6214616266958","48.6230360256202","48.6221089955037","48.6208858616035","48.6217328066645","48.6261707794285","48.6347656374166","48.6457757519993","48.6576674858777","48.6670210763541","48.6720544935944","48.6722615711845","48.6690872419536","48.6644393070414","48.6608213263833","48.6603220564976","48.6685509558213","48.686047728475","48.7037531104266","48.710014868419","48.7001422043048","48.6584821435904","48.595983477189","48.5610308368833","48.614557847309","48.7912004309099","49.1243590333731","49.5929463964704","50.1078494089252","50.5267409879746","50.7374258855744","50.6821411179337","50.4036297155865","50.0051596120358","49.6352515451372","49.3965639006968","49.3185451261958","49.3652163037161","49.4922253470716","49.6289888250577","49.7223671039034","49.7645951496905","49.772692290325","49.7476423585174","49.6960690793678","49.6250545703587","49.5302023047865","49.4109483883654","49.2845207708001","49.1733783745991","49.0937975259849","49.0529987420434","49.0463977665664","49.0630945959306","",
"Andorra","AND","Population, female (% of total population)","SP.POP.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Population, female (% of total population)","SP.POP.TOTL.FE.ZS","49.5847698167825","49.5850073362673","49.5870120371901","49.5901733473128","49.5936146614018","49.5964986039968","49.5985157165301","49.5992275091709","49.5977685842696","49.5931844358361","49.584675514129","49.573194275977","49.5586068579956","49.5382101963119","49.5088559732447","49.4693487131332","49.4187434518782","49.3602049525481","49.3012503183264","49.2507218357942","49.2136592440097","49.1916297985577","49.1810305043264","49.1754425352598","49.1667829811199","49.1500192128293","49.1249051129811","49.094240462182","49.0603267558073","49.0263201491031","48.9974370590739","48.9666906020764","48.987085892742","48.9598977317982","48.9457296120971","48.9035281705691","48.9231201632618","48.9544767638704","48.9870370335434","49.0076120306508","49.0074838757677","48.9860469305049","48.946988877231","48.8919941760717","48.8239650605405","48.7461890818166","48.658069290369","48.5623169069503","48.4687565543802","48.3889507473238","48.329894833899","48.2945273652539","48.2789507678601","48.2747794566622","48.2708732474135","48.2601310757975","48.2404120354611","48.2152431476604","48.1903282291257","",
"United Arab Emirates","ARE","Population, female (% of total population)","SP.POP.TOTL.FE.ZS","49.9356179057966","48.2554736560153","46.1467104324247","44.1165188204268","42.4965048642149","41.3239464815989","40.5828264959776","40.0517176381886","39.3604205453948","38.1860435345613","36.5810704782698","34.8774431185419","33.3669720335501","32.1393728222996","31.2172028657181","30.5778823443584","30.1017672896229","29.7670351548317","29.6706874223517","29.8974405206536","30.4516790958767","31.3267712442618","32.4190258375572","33.5390656734424","34.4520352094716","35.0186836875487","35.2236539900137","35.162233962776","34.9402729326617","34.6821187754828","34.4620569371545","34.2728191129381","34.0861574793024","33.9099963877072","33.7504690815851","33.6014382847246","33.436649927278","33.2374770762918","33.0055232200608","32.7454316866086","32.4476790062242","32.215336319557","32.0175613845012","31.6203614776245","30.8054634335297","29.6132793923223","28.1651991671214","26.7665621738653","25.7194950381452","25.193864930871","25.1933626183304","25.6855596506362","26.5630035361432","27.6666281071739","28.7481297851508","29.6024267140644","30.158621297461","30.4802488741153","30.6366879500976","",
"Argentina","ARG","Population, female (% of total population)","SP.POP.TOTL.FE.ZS","49.559962583332","49.6126101068968","49.6682132054576","49.7249186510851","49.7801935418511","49.8326236648928","49.8810017644236","49.9268032165584","49.9743960144107","50.029409872507","50.0951485065428","50.1728101955996","50.259621763885","50.3501869277303","50.4375546518667","50.5170365086683","50.5874904781825","50.6505679353561","50.7081896812469","50.7631052709096","50.8172987237267","50.8703314506893","50.9214834057139","50.9716117282149","51.0218734532157","51.0726831929432","51.1251194014234","51.1782473621195","51.2282366011694","51.2701466962145","51.3010686402453","51.3193021966019","51.327071351283","51.329935620154","51.3353484289257","51.3480927277025","51.3700784443768","51.3987011629944","51.4287332069246","51.4528966810685","51.4663990438395","51.4679451279232","51.459819679785","51.4450481421038","51.4279965405772","51.4118172241305","51.3972098053962","51.3833744289272","51.3700806426442","51.356653171054","51.3427421836562","51.3284508654385","51.3142079494409","51.3001909136769","51.2865855105791","51.27348276799","51.2609743314513","51.2489899491189","51.2373484456557","",
"Armenia","ARM","Population, female (% of total population)","SP.POP.TOTL.FE.ZS","51.8173072254217","51.7358246055366","51.6555661937852","51.5776016757927","51.5038666594561","51.4356609367454","51.3716818436248","51.3132002327358","51.2631073047741","51.2256906182778","51.2029581789315","51.1948374551149","51.1990640200054","51.2120776472843","51.2295628661559","51.2481855100623","51.2694392235835","51.2927531309701","51.3119787390418","51.3197470603688","51.3120858750632","51.2875719164854","51.2516845686001","51.2144783906093","51.189633043411","51.1872083838564","51.2063624765054","51.2446164439952","51.3074708667043","51.402117307272","51.5338463677772","51.7104205721191","51.9309170970309","52.1782361628861","52.4213805066535","52.6313744638831","52.7945248630695","52.9124845479577","52.9882834929557","53.0335834666011","53.0583330645684","53.0599674958354","53.0367741867437","53.0036402338285","52.979306598594","52.9772961920153","53.0062694769734","53.0624715484303","53.1300051760635","53.1845916372528","53.2080614072708","53.1941195938448","53.1503803949673","53.0900647537456","53.0319121357861","52.9890526904431","52.9650933689628","52.955474908389","52.9565771522637","",
"American Samoa","ASM","Population, female (% of total population)","SP.POP.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
