country,pop,tests,testpop,density,medianage,urbanpop,quarantine,schools,restrictions,hospibed,smokers
Luxembourg,"625,978",,,242,40,88,,,,4.8,23.6
Malaysia,"32,365,999",9799,3302.989999,99,30,78,3/18/2020,,,1.9,22.2
Maldives,"540,544",,,1802,30,35,,,,4.3,
Malta,"441,543",889,496.6737908,1380,43,93,,,,4.7,24.95
Martinique,"375,265",,,354,47,92,,,,0.8,
Mauritania,"4,649,658",,,5,20,57,,,,0.4,23.85
Mauritius,"1,271,768",,,626,37,41,,,,3.4,21.7
Mayotte,"272,815",,,728,20,46,,,,7,
Mexico,"128,932,753",,,66,29,84,,,,1.5,13.7
Moldova,"4,033,963",,,123,38,43,,,,5.8,25.55
Monaco,"39,242",,,26337,54,100,,,,13.8,
Mongolia,"3,278,290",,,2,28,67,,,,7,26.5
Montenegro,"628,066",,,47,39,68,,,,4,
Morocco,"36,910,560",,,83,30,64,,,,1.1,23.4
Namibia,"2,540,905",,,3,22,55,,,,2.7,25.15
Nepal,"29,136,808",,,203,25,21,,,,0.3,24.1
Netherlands,"17,134,872",6000,2855.812,508,43,92,,3/15/2020,3/15/2020,4.7,25.05
New Zealand,"4,822,233",584,8257.248288,18,38,87,3/23/2020,,,2.8,
Nigeria,"206,139,589",,,226,18,52,,,,0.3,9.25
North Macedonia,"2,083,374",,,83,39,59,,,,4.4,
Norway,"5,421,241",18062,300.1462186,15,40,83,,3/12/2020,3/12/2020,3.9,22.25
Oman,"5,106,626",,,16,31,87,,,,1.6,11
Pakistan,"220,892,340",531,415993.1073,287,23,35,,,,0.6,22.45
Panama,"4,314,767",756,5707.363757,58,30,68,,,,2.3,6.6
Paraguay,"7,132,538",,,18,26,62,,3/10/2020,3/10/2020,1.3,18.1
Peru,"32,971,854",,,26,31,79,3/15/2020,,,1.6,
Philippines,"109,581,078",1030,106389.3961,368,26,47,,,,1,25.75
Poland,"37,846,611",7899,4791.316749,124,42,60,,3/11/2020,3/20/2020,6.5,28.05
Portugal,"10,196,709",,,111,46,66,,3/19/2020,3/19/2020,3.4,22.6
Puerto Rico,"2,860,853",,,323,44,88,,,,3.319999933,
Qatar,"2,881,053",,,248,32,96,,,,1.2,
Republic of the Congo,"5,518,087",,,16,17,46,,,,0.8,
Reunion,"895,312",,,358,36,100,,,,10.2,
Romania,"19,237,691",3708,5188.158306,84,43,55,,,,6.3,29.8
Russia,"145,934,462",116061,1257.394491,9,40,74,,,,8.2,40.9
Rwanda,"12,952,218",,,525,20,18,3/21/2020,,,1.6,
Saint Lucia,"183,627",,,301,34,19,,,,1.3,
Saint Vincent and the Grenadines,"115,000",,,307,33,78,,,,2.6,
San Marino,"33,931",,,566,47,97,,,,3.8,
Saudi Arabia,"34,813,871",,,16,32,84,,,,2.7,15.4
Senegal,"16,743,927",,,87,19,49,,,,0.3,12.05
Serbia,"8,737,371",,,100,42,56,,,,5.7,41.65
Seychelles,"98,347",,,214,34,56,,,,3.6,25.9
Singapore,"5,850,342",,,8358,42,99,,,,2.4,16.5
Slovakia,"5,459,642",1595,3422.973041,114,41,54,,,,4.8,28.65
Slovenia,"2,078,938",6712,309.7345054,103,45,55,,,,4.6,20.2
Somalia,"15,893,222",,,25,17,47,,,,0.9,
South Africa,"59,308,690",645,91951.45736,49,28,67,,,,2.8,18.95
Spain,"46,754,778",,,94,45,80,3/15/2020,,,3,29.2
Sri Lanka,"21,413,249",,,341,34,18,,,,3.6,14.4
Sudan,"43,849,260",,,25,20,35,,,,0.8,
Suriname,"586,632",,,4,29,65,,,,3.1,
Sweden,"10,099,265",14300,706.2423077,25,41,88,,3/17/2020,3/11/2020,2.6,20.6
Switzerland,"8,654,622",4000,2163.6555,219,43,74,,3/13/2020,3/16/2020,4.7,23.3
Taiwan*,"23,816,775",18812,1266.041622,673,42,79,,2/2/2020,,10.4,
Tanzania,"59,734,218",,,67,18,37,,,,0.7,15.65
Thailand,"69,799,978",7084,9853.187182,137,40,51,,,,2.1,21.85
The Bahamas,"393,244",,,39,32,86,,,,2.9,
The Gambia,"2,416,668",,,239,18,59,,,,1.1,
Togo,"8,278,724",,,152,19,43,,,,0.8,
Trinidad and Tobago,"1,399,488",,,273,36,52,,,,3,
Tunisia,"11,818,619",,,76,33,70,,,,2.3,
Turkey,"84,339,067",,,110,32,76,,3/16/2020,3/16/2020,2.7,25.95
US,"331,002,651",62657,5282.772093,36,38,83,,,,2.9,17.25
Ukraine,"43,733,762",500,87467.524,75,41,69,,,,8.8,31.7
United Arab Emirates,"9,890,402",125000,79.123216,118,33,86,,,,1.2,
United Kingdom,"67,886,011",50442,1345.823143,281,40,83,,3/20/2020,3/20/2020,2.8,19.15
Uruguay,"3,473,730",,,20,36,96,,,,2.8,23.05
Uzbekistan,"33,469,203",,,79,28,50,,,,4,13.1
Venezuela,"28,435,940",,,32,30,80,,,,0.8,
Vietnam,"97,338,579",9696,10039.04486,314,32,38,,,,2.6,24.2
Zambia,"18,383,955",,,25,18,45,,,,2,15.55
Hubei,,,,,,,1/23/2020,,,,
Alabama,,,,,,,,3/18/2020,,,
Alaska,,,,,,,,3/16/2020,,,
Arizona,,,,,,,,3/16/2020,,,
Arkansas,,,,,,,,3/17/2020,,,
California,,,,,,,3/19/2020,3/12/2020,3/17/2020,,
San Franciso,,,,,,,3/17/2020,,,,
Colorado,,,,,,,,3/18/2020,3/18/2020,,
Connecticut,,,,,,,3/18/2020,3/15/2020,3/16/2020,,
Delaware,,,,,,,,3/16/2020,3/16/2020,,
Florida,,,,,,,,3/16/2020,3/17/2020,,
Georgia,,,,,,,,3/18/2020,,,
Atlanta,,,,,,,,,3/19/2020,,
Hawaii,,,,,,,,3/13/2020,3/17/2020,,
Honolulu,,,,,,,3/23/2020,,,,
Idaho,,,,,,,,,3/18/2020,,
Illinois,,,,,,,3/21/2020,3/13/2020,3/16/2020,,
Indiana,,,,,,,,3/15/2020,3/16/2020,,
Iowa,,,,,,,,,3/17/2020,,
Kansas,,,,,,,,3/17/2020,,,
Kentucky,,,,,,,3/23/2020,3/16/2020,3/16/2020,,
Louisiana,,,,,,,,3/13/2020,3/16/2020,,
Maine,,,,,,,,3/18/2020,3/18/2020,,
Maryland,,,,,,,,3/16/2020,3/16/2020,,
Massachusetts,,,,,,,,3/17/2020,3/17/2020,,
Michigan,,,,,,,,3/12/2020,3/16/2020,,
Minnesota,,,,,,,,3/15/2020,3/17/2020,,
Mississippi,,,,,,,,,,,
Missouri,,,,,,,,3/17/2020,,,
Montana,,,,,,,,3/15/2020,,,
Nebraska,,,,,,,,,,,
Nevada,,,,,,,,3/16/2020,3/17/2020,,
New Hampshire,,,,,,,,3/16/2020,3/23/2020,,
New Jersey,,,,,,,3/21/2020,3/18/2020,3/16/2020,,
New Mexico,,,,,,,,3/16/2020,3/15/2020,,
New York,,,,,,,3/21/2020,3/16/2020,3/16/2020,,
North Carolina,,,,,,,,3/16/2020,3/17/2020,,
North Dakota,,,,,,,,3/15/2020,,,
Ohio,,,,,,,3/23/2020,3/15/2020,3/15/2020,,
Oklahoma,,,,,,,,,,,
Oregon,,,,,,,,3/15/2020,3/16/2020,,
Pennsylvania,,,,,,,,3/16/2020,3/17/2020,,
Rhode Island,,,,,,,,3/17/2020,3/17/2020,,
South Carolina,,,,,,,,3/14/2020,3/18/2020,,
South Dakota,,,,,,,,3/13/2020,,,
Tennessee,,,,,,,,3/16/2020,,,
Texas,,,,,,,,,,,
Utah,,,,,,,,3/16/2020,,,
Vermont,,,,,,,,3/16/2020,3/16/2020,,
Virginia,,,,,,,,3/13/2020,3/17/2020,,
Washington,,,,,,,,3/15/2020,3/15/2020,,
Washington DC,,,,,,,,3/16/2020,3/15/2020,,
West Virginia,,,,,,,,3/17/2020,3/17/2020,,
Wisconsin,,,,,,,,3/18/2020,3/17/2020,,
Wyoming,,,,,,,,3/15/2020,,,
Puerto Rico,,,,,,,3/16/2020,3/16/2020,,,
