Country,Total Infected,GDP 2018,Crime Index,Population 2020,Smoking 2016,Females 2018,Median Age
Slovenia,766,54007972106.4629,22.01,2078.938,22.5,50.2452070327013,44.5
South Africa,159,368288939768.322,77.02,59308.69,20.3,50.694150384859505,27.1
Spain,29317,1419041949909.82,31.07,46754.778,29.3,50.8966413132559,42.7
Sri Lanka,82,88900770857.6351,40.15,21413.249,13.0,51.966817656801396,32.8
Sweden,5197,556086488936.559,47.21,10099.265,18.8,49.9457761669857,41.2
Switzerland,8051,705140354166.312,21.18,8654.622,25.7,50.427124662223704,42.4
Thailand,1895,504992757704.997,41.29,69799.978,19.9,51.2687046149695,37.7
Tunisia,79,39871132267.9361,40.64,11818.619,32.7,50.43715185976421,31.6
Turkey,18,771350330455.2671,39.86,84339.067,27.2,50.6778132013215,30.9
United States,15389,20544343456936.5,46.73,331002.651,21.8,50.5200146539124,38.1
Ukraine,19,130832374404.88199,49.04,43733.762,28.9,53.687750696908,40.6
United Arab Emirates,1070,414178942592.479,15.52,9890.402,28.9,30.636687950097603,30.3
United Kingdom,5930,2855296731521.96,43.64,67886.011,22.3,50.63527456075789,40.5
Uruguay,8,59596885024.3487,52.33,3473.73,16.8,51.7215426942936,35.0
Vietnam,854,245213686369.15698,48.22,97338.579,22.8,50.0964096241893,30.5
